miRNA	lncRNA
hsa-miR-338-3p	RP11-229P13.22
hsa-miR-541-3p	MUC2
hsa-miR-516b-5p	LINC01106
hsa-miR-296-5p	RP11-14P20.1
hsa-miR-650	RP11-138B4.1
hsa-miR-223-5p	RP3-323A16.1
hsa-miR-1184	TMEM191C
hsa-miR-1237-3p	GS1-519E5.1
hsa-miR-1207-3p	RP11-326C3.10
hsa-miR-22-3p	RP11-326C3.10
hsa-miR-1226-3p	LINC01070
hsa-miR-197-3p	LINC01070
hsa-miR-744-3p	AC097468.4
hsa-miR-146a-3p	FAM74A7
hsa-miR-221-5p	LL22NC03-2H8.4
hsa-miR-24-3p	LINC01106
hsa-miR-3659	RP11-426C22.4
hsa-miR-612	RP11-458F8.4
hsa-miR-873-5p	RP11-102K13.5
hsa-miR-493-3p	RP11-326C3.10
hsa-miR-624-3p	RP11-333E1.2
hsa-miR-198	RP11-830F9.6
hsa-miR-365a-3p	HP09025
hsa-miR-18a-3p	RP3-388N13.3
hsa-miR-125b-1-3p	TP73-AS1
hsa-miR-499a-3p	RP4-737E23.2
hsa-miR-1178-3p	AC011284.3
hsa-miR-483-5p	RP11-138B4.1
hsa-miR-139-3p	RP11-138B4.1
hsa-miR-762	AP001476.4
hsa-miR-2355-5p	RP11-54O7.17
hsa-miR-1203	RP11-14P20.1
hsa-miR-151a-5p	RP11-14P20.1
hsa-miR-1228-3p	RP4-737E23.2
hsa-miR-1207-3p	RP11-326C3.14
hsa-miR-493-3p	RP11-326C3.14
hsa-miR-1228-5p	RP11-10J21.4
hsa-miR-328-3p	LL22NC03-2H8.4
hsa-miR-146a-3p	FAM74A6
hsa-let-7a-3p	DPP10-AS2
hsa-miR-361-3p	RP3-470B24.5
hsa-miR-1234-3p	RP13-580B18.4
hsa-miR-1224-5p	RP3-388N13.3
hsa-miR-125b-2-3p	RP11-333E1.2
hsa-miR-3663-5p	FAM95B1
hsa-miR-650	RP5-892K4.1
hsa-miR-377-3p	RP4-737E23.2
hsa-miR-1207-3p	TP73-AS1
hsa-miR-10a-5p	RP5-892K4.1
hsa-miR-576-5p	CTC-459F4.1
hsa-miR-18a-5p	RP11-333E1.2
hsa-miR-432-3p	RP5-892K4.1
hsa-miR-2113	RP11-982M15.8
hsa-miR-101-3p	AC091153.4
hsa-miR-1972	FAM182A
hsa-miR-892a	GAS6-AS1
hsa-miR-214-3p	RP4-539M6.22
